timestamp,price,volume,market_cap,circulating_supply,total_supply,max_supply,fdv,price_change_24h
2025-01-31 00:00:00,239.04719726337646,5322441765.57196,116559779515.8497,,,,,
2025-02-01 00:00:00,231.50782299297455,4767010236.438659,112643737226.91638,,,,,
2025-02-02 00:00:00,214.46366422580272,4126022505.958027,104469275144.33444,,,,,
2025-02-03 00:00:00,202.32492853599265,9577730751.60321,98398368500.85646,,,,,
2025-02-04 00:00:00,215.95147229807475,17185125725.03428,105205583844.172,,,,,
2025-02-05 00:00:00,207.42406393975517,8488460261.020004,100802812440.85353,,,,,
2025-02-06 00:00:00,196.21787573260255,4519102616.629987,95550201539.32951,,,,,
2025-02-07 00:00:00,189.38932513491977,4544519196.979243,92031851837.88425,,,,,
2025-02-08 00:00:00,192.2709679394336,5321325630.808724,93773950310.2403,,,,,
2025-02-09 00:00:00,199.70939394589394,2738591550.9889145,97430610890.80075,,,,,
2025-02-10 00:00:00,200.44634668796408,3575183754.783349,97797330676.8804,,,,,
2025-02-11 00:00:00,200.0458466193684,4877446867.21056,97602797576.9777,,,,,
2025-02-12 00:00:00,197.92915264031842,4610068875.979272,96650663515.04695,,,,,
2025-02-13 00:00:00,196.60301392852935,4991943969.554793,95802342588.48465,,,,,
2025-02-14 00:00:00,194.2631701900725,3243643748.254954,94843692266.1009,,,,,
2025-02-15 00:00:00,199.65011966060425,4307573002.935994,97468827982.87822,,,,,
2025-02-16 00:00:00,194.4254509858272,2126185023.7187572,94916725048.10495,,,,,
2025-02-17 00:00:00,188.165584495931,2477404625.155988,91860796549.96172,,,,,
2025-02-18 00:00:00,177.91997195388805,4953743554.608888,86934660078.68405,,,,,
2025-02-19 00:00:00,169.10718217289786,7430021942.540908,82487856965.56555,,,,,
2025-02-20 00:00:00,169.26443436615673,4126508611.428817,82688920914.07486,,,,,
2025-02-21 00:00:00,176.02074183930708,3748737861.764053,86011244818.54909,,,,,
2025-02-22 00:00:00,169.00123201382314,5320752621.586434,82609623068.92926,,,,,
2025-02-23 00:00:00,172.21280391506767,2446840289.512584,84180442889.18811,,,,,
2025-02-24 00:00:00,168.09302650361454,1845951247.1170418,82111049206.9718,,,,,
2025-02-25 00:00:00,141.16593031186233,8204544974.98999,69785445476.4441,,,,,
2025-02-26 00:00:00,144.3563354963687,10792855904.5099,71703011109.95712,,,,,
2025-02-27 00:00:00,134.6628545613439,5565468106.450874,67080997138.50677,,,,,
2025-02-28 00:00:00,137.60648163669737,4247821646.488742,68562002291.54892,,,,,
2025-03-01 00:00:00,148.17466304440643,8773643463.195835,73865234147.56163,,,,,
2025-03-02 00:00:00,143.4002225931321,3750217492.258566,72725965137.73221,,,,,
2025-03-03 00:00:00,178.17413183106032,13105437774.765995,90446325718.02034,,,,,
2025-03-04 00:00:00,142.5141267061424,10365994673.49476,72549477478.20894,,,,,
2025-03-05 00:00:00,145.06190940041165,8959390661.47582,73677404621.18243,,,,,
2025-03-06 00:00:00,146.1815871653316,5058439503.511892,74254605878.29288,,,,,
2025-03-07 00:00:00,143.45134750836067,4945954333.278534,72855104265.59047,,,,,
2025-03-08 00:00:00,139.1826626278542,7016301953.403862,70789658072.88582,,,,,
2025-03-09 00:00:00,136.88210638232243,2514068553.482356,69641393306.39473,,,,,
2025-03-10 00:00:00,126.63426805755283,3801194130.62927,64443868119.22886,,,,,
2025-03-11 00:00:00,118.78644366084116,5864031854.074184,60550984692.33613,,,,,
2025-03-12 00:00:00,125.4287680235315,6029007255.049647,63868692267.70004,,,,,
2025-03-13 00:00:00,126.56536487567297,4689543463.448166,64342608562.247406,,,,,
2025-03-14 00:00:00,123.23770752728635,3271148359.248695,62750805255.11328,,,,,
